state,date,staff
Johor,01/01/2014,11114
Johor,01/01/2015,11721
Johor,01/01/2016,11987
Johor,01/01/2017,12506
Johor,01/01/2018,12764
Johor,01/01/2019,13553
Johor,01/01/2020,12294
Johor,01/01/2021,14586
Johor,01/01/2022,14634
Kedah,01/01/2014,8018
Kedah,01/01/2015,8540
Kedah,01/01/2016,8762
Kedah,01/01/2017,8985
Kedah,01/01/2018,9229
Kedah,01/01/2019,9666
Kedah,01/01/2020,10652
Kedah,01/01/2021,10486
Kedah,01/01/2022,10372
Kelantan,01/01/2014,6791
Kelantan,01/01/2015,8505
Kelantan,01/01/2016,8683
Kelantan,01/01/2017,8990
Kelantan,01/01/2018,9084
Kelantan,01/01/2019,8683
Kelantan,01/01/2020,7719
Kelantan,01/01/2021,11589
Kelantan,01/01/2022,12097
Melaka,01/01/2014,3829
Melaka,01/01/2015,4056
Melaka,01/01/2016,4342
Melaka,01/01/2017,4503
Melaka,01/01/2018,4480
Melaka,01/01/2019,4947
Melaka,01/01/2020,5286
Melaka,01/01/2021,5463
Melaka,01/01/2022,5624
Negeri Sembilan,01/01/2014,5002
Negeri Sembilan,01/01/2015,5132
Negeri Sembilan,01/01/2016,5329
Negeri Sembilan,01/01/2017,5779
Negeri Sembilan,01/01/2018,6157
Negeri Sembilan,01/01/2019,6479
Negeri Sembilan,01/01/2020,8023
Negeri Sembilan,01/01/2021,7030
Negeri Sembilan,01/01/2022,7248
Pahang,01/01/2014,7356
Pahang,01/01/2015,7655
Pahang,01/01/2016,7925
Pahang,01/01/2017,8026
Pahang,01/01/2018,8347
Pahang,01/01/2019,9050
Pahang,01/01/2020,9042
Pahang,01/01/2021,9427
Pahang,01/01/2022,9586
Perak,01/01/2014,10103
Perak,01/01/2015,10569
Perak,01/01/2016,10867
Perak,01/01/2017,11259
Perak,01/01/2018,11422
Perak,01/01/2019,11995
Perak,01/01/2020,6566
Perak,01/01/2021,13130
Perak,01/01/2022,13561
Perlis,01/01/2014,1581
Perlis,01/01/2015,1721
Perlis,01/01/2016,1840
Perlis,01/01/2017,1882
Perlis,01/01/2018,1914
Perlis,01/01/2019,1994
Perlis,01/01/2020,10665
Perlis,01/01/2021,2100
Perlis,01/01/2022,2116
Pulau Pinang,01/01/2014,6427
Pulau Pinang,01/01/2015,6505
Pulau Pinang,01/01/2016,6769
Pulau Pinang,01/01/2017,7506
Pulau Pinang,01/01/2018,7651
Pulau Pinang,01/01/2019,7511
Pulau Pinang,01/01/2020,10600
Pulau Pinang,01/01/2021,8137
Pulau Pinang,01/01/2022,8192
Sabah,01/01/2014,12817
Sabah,01/01/2015,13772
Sabah,01/01/2016,14084
Sabah,01/01/2017,14368
Sabah,01/01/2018,15072
Sabah,01/01/2019,15432
Sabah,01/01/2020,13669
Sabah,01/01/2021,16125
Sabah,01/01/2022,16345
Sarawak,01/01/2014,10921
Sarawak,01/01/2015,11090
Sarawak,01/01/2016,12152
Sarawak,01/01/2017,13190
Sarawak,01/01/2018,12446
Sarawak,01/01/2019,12373
Sarawak,01/01/2020,15138
Sarawak,01/01/2021,12725
Sarawak,01/01/2022,13374
Selangor,01/01/2014,15450
Selangor,01/01/2015,16474
Selangor,01/01/2016,17510
Selangor,01/01/2017,19883
Selangor,01/01/2018,20882
Selangor,01/01/2019,20624
Selangor,01/01/2020,16461
Selangor,01/01/2021,23001
Selangor,01/01/2022,24009
Terengganu,01/01/2014,5510
Terengganu,01/01/2015,5719
Terengganu,01/01/2016,5964
Terengganu,01/01/2017,6431
Terengganu,01/01/2018,6582
Terengganu,01/01/2019,6826
Terengganu,01/01/2020,11544
Terengganu,01/01/2021,7140
Terengganu,01/01/2022,7438
W.P. Kuala Lumpur,01/01/2014,8394
W.P. Kuala Lumpur,01/01/2015,12278
W.P. Kuala Lumpur,01/01/2016,13140
W.P. Kuala Lumpur,01/01/2017,12702
W.P. Kuala Lumpur,01/01/2018,15492
W.P. Kuala Lumpur,01/01/2019,17299
W.P. Kuala Lumpur,01/01/2020,15374
W.P. Kuala Lumpur,01/01/2021,18045
W.P. Kuala Lumpur,01/01/2022,18941
W.P. Labuan,01/01/2014,381
W.P. Labuan,01/01/2015,409
W.P. Labuan,01/01/2016,414
W.P. Labuan,01/01/2017,434
W.P. Labuan,01/01/2018,475
W.P. Labuan,01/01/2019,497
W.P. Labuan,01/01/2020,463
W.P. Labuan,01/01/2021,521
W.P. Labuan,01/01/2022,601
W.P. Putrajaya,01/01/2014,7836
W.P. Putrajaya,01/01/2015,7936
W.P. Putrajaya,01/01/2016,7975
W.P. Putrajaya,01/01/2017,7152
W.P. Putrajaya,01/01/2018,5677
W.P. Putrajaya,01/01/2019,7248
W.P. Putrajaya,01/01/2020,3143
W.P. Putrajaya,01/01/2021,3129
W.P. Putrajaya,01/01/2022,3552
